city,state,place,pct_non_white
Carver,Minnesota,10144,7.545587927059316
Clear Lake,Minnesota,11764,4.712041884816753
Kimball,Minnesota,33164,8.97297297297297
Bricelyn,Minnesota,07678,6.360424028268552
Corcoran,Minnesota,13168,7.460666553882589
Courtland,Minnesota,13582,1.1019283746556474
St. James,Minnesota,57040,19.89198919891989
Comfrey,Minnesota,12772,1.0666666666666713
Henning,Minnesota,28520,6.096131301289565
Norcross,Minnesota,46492,8.695652173913048
Kasson,Minnesota,32498,4.28346456692913
Alexandria,Minnesota,00928,5.673601888741331
Revere,Minnesota,53908,10.389610389610393
Dakota,Minnesota,14518,0.0
Woodbury,Minnesota,71428,20.44745801504878
Lucan,Minnesota,38420,7.14285714285714
Stewart,Minnesota,62788,4.081632653061229
Alberta,Minnesota,00676,0.0
Ortonville,Minnesota,48706,3.377016129032262
Lismore,Minnesota,37412,0.0
Taconite,Minnesota,64048,5.584415584415581
Nicollet,Minnesota,46150,1.2800000000000034
Arden Hills,Minnesota,02026,13.271155153988145
Nassau,Minnesota,45016,0.0
Randall,Minnesota,53080,0.0
Hanover,Minnesota,26990,1.6373559733171672
Le Roy,Minnesota,36620,5.004633920296575
Riverton,Minnesota,54736,3.93258426966292
Roseville,Minnesota,55852,23.421973019485932
Rockville,Minnesota,55078,10.113680909447275
Newport,Minnesota,45790,16.761041902604756
Minneiska,Minnesota,43036,0.9433962264150941
St. Vincent,Minnesota,58144,0.0
Rushmore,Minnesota,56338,5.932203389830503
Hollandale,Minnesota,29636,5.609756097560981
Pine Island,Minnesota,51136,3.2499999999999973
Lake Elmo,Minnesota,34244,7.782361467276178
Warroad,Minnesota,68224,14.566719829877728
Wanda,Minnesota,68008,7.272727272727275
Afton,Minnesota,00316,5.335111703901296
Rush City,Minnesota,56266,21.6403785488959
Glenwood,Minnesota,24074,1.207635372029603
Pease,Minnesota,50056,0.8064516129032251
Falcon Heights,Minnesota,20420,28.774008257045413
Richmond,Minnesota,54268,1.2642225031605614
Dovray,Minnesota,16300,0.0
Spring Lake Park,Minnesota,61996,25.034429992348894
St. Augusta,Minnesota,56724,3.0376344086021523
Walters,Minnesota,67900,2.941176470588236
Alvarado,Minnesota,01252,6.735751295336789
Grygla,Minnesota,26216,1.0810810810810811
Middle River,Minnesota,41912,0.0
Bingham Lake,Minnesota,05896,20.467836257309948
Elgin,Minnesota,18530,1.7350157728706628
Talladega,Alabama,74592,52.203324313877076
Lexington town,Alabama,42640,3.508771929824561
Decatur,Alabama,20104,32.55809684643343
